country,state,city,station,last_update,latitude,longitude,pollutant_id,pollutant_min,pollutant_max,pollutant_avg
India,Delhi,Delhi,"Alipur, Delhi - DPCC",12-04-2025 09:00,28.815329,77.15301,NO2,22,38,31
India,Delhi,Delhi,"Anand Vihar, Delhi - DPCC",12-04-2025 09:00,28.647622,77.315809,PM10,18,408,126
India,Delhi,Delhi,"Anand Vihar, Delhi - DPCC",12-04-2025 09:00,28.647622,77.315809,SO2,NA,NA,NA
India,Delhi,Delhi,"Ashok Vihar, Delhi - DPCC",12-04-2025 09:00,28.695381,77.181665,PM10,30,403,134
India,Delhi,Delhi,"Ashok Vihar, Delhi - DPCC",12-04-2025 09:00,28.695381,77.181665,NH3,8,12,10
India,Bihar,Siwan,"Chitragupta Nagar, Siwan - BSPCB",12-04-2025 09:00,26.2271665,84.3570427,OZONE,5,138,24
India,Chandigarh,Chandigarh,"Sector 22, Chandigarh - CPCC",12-04-2025 09:00,30.735567,76.775714,SO2,15,44,20
India,Chandigarh,Chandigarh,"Sector-25, Chandigarh - CPCC",12-04-2025 09:00,30.751462,76.762879,CO,12,20,15
India,Chandigarh,Chandigarh,"Sector-53, Chandigarh - CPCC",12-04-2025 09:00,30.719859,76.738637,PM10,39,113,59
India,Bihar,Saharsa,"Police Line, Saharsa - BSPCB",12-04-2025 09:00,25.892357,86.590325,OZONE,28,51,35
India,Bihar,Samastipur,"DM Office_Kasipur, Samastipur - BSPCB",12-04-2025 09:00,25.859655,85.77944,NH3,2,2,2
India,Bihar,Sasaram,"Dada Peer, Sasaram - BSPCB",12-04-2025 09:00,24.952822,84.002396,NO2,2,3,2
India,Bihar,Sasaram,"Dada Peer, Sasaram - BSPCB",12-04-2025 09:00,24.952822,84.002396,NH3,3,3,3
India,Chhattisgarh,Raipur,"AIIMS, Raipur - CECB",12-04-2025 09:00,21.258815,81.578979,OZONE,4,74,9
India,Chhattisgarh,Raipur,"Krishak Nagar, Raipur - CECB",12-04-2025 09:00,21.237755,81.705301,NO2,17,25,22
India,Chhattisgarh,Raipur,"Krishak Nagar, Raipur - CECB",12-04-2025 09:00,21.237755,81.705301,NH3,7,7,7
India,Bihar,Purnia,"Mariam Nagar, Purnia - BSPCB",12-04-2025 09:00,25.366336,87.117468,PM10,22,94,38
India,Bihar,Purnia,"Mariam Nagar, Purnia - BSPCB",12-04-2025 09:00,25.366336,87.117468,NH3,3,3,3
India,Bihar,Purnia,"Mariam Nagar, Purnia - BSPCB",12-04-2025 09:00,25.366336,87.117468,OZONE,7,49,16
India,Gujarat,Ahmedabad,"SAC ISRO Satellite, Ahmedabad - IITM",12-04-2025 09:00,23.023389,72.515201,CO,3,13,6
India,Gujarat,Ahmedabad,"Sardar Vallabhbhai Patel Stadium, Ahmedabad - IITM",12-04-2025 09:00,23.04307,72.562968,NH3,6,22,14
India,Gujarat,Ahmedabad,"Sardar Vallabhbhai Patel Stadium, Ahmedabad - IITM",12-04-2025 09:00,23.04307,72.562968,SO2,10,35,19
India,Gujarat,Ahmedabad,"Sardar Vallabhbhai Patel Stadium, Ahmedabad - IITM",12-04-2025 09:00,23.04307,72.562968,CO,14,43,34
